person_id,source_position_id,page_number,name_raw,comments_before,comments_after
P000130,1-02-000-0035,35,Макрида Крус,пришла за мужем,Пришла за мужем
P000276,1-02-025-0181,44,Степанида Кирилова Лычева,имеет сожителя Кузьму Соколова см. №14,Имеет сожителя Кузьму Соколова см. №14
P000336,1-02-038-0241,47,Степан Григорьевич Ковалев,сожительствует с ссыльнокаторжной Комаровой,Сожительствует с ссыльнокаторжной Комаровой
P000350,1-02-040-0255,48,Андрей Ларионов Ганин,пришла за мужем,Пришла за мужем
P000924,1-02-190-0829,83,Пелагея Кузьмина Панчурина,пришла за мужем,Пришла за мужем
P000948,1-02-195-0853,85,Настасья Петрова Петровская,пришла за мужем,Пришла за мужем
P000977,1-02-199-0882,87,Анна Осипова Максимова,за вторым мужем,За вторым мужем
P001370,1-02-301-1275,110,Марья Васильевна Зайцева,сожительствует,Сожительствует
P001401,1-02-308-1306,112,Андрей Андреев Наудуш,пришла за мужем,Пришла за мужем
P001854,1-04-051-0161,141,Куты Хаджилов Мирзабир,из киргиз,Из киргиз
P002264,1-08-002-0007,166,Настасья Савельева,пришла за мужем,Пришла за мужем
P002269,1-08-003-0012,166,Елизавета Семенова Гончарова,пришла за мужем,Пришла за мужем
P002279,1-08-006-0022,167,Прасковья Григорьева Падерова,пришла за мужем,Пришла за мужем
P002300,1-08-012-0043,168,Эмилия Григорьева Вериго,пришла за мужем,Пришла за мужем
P002307,1-08-015-0050,169,Софья Нестерова Можайская,пришла за мужем,Пришла за мужем
P002310,1-08-016-0053,169,Елизавета Федорова Иванова,пришла за мужем,Пришла за мужем
P002315,1-08-016-0058,169,Марфа Федорова Костина,пришла за мужем,Пришла за мужем
P002318,1-08-017-0061,170,Марфа Осипова Катренко,пришла за мужем,Пришла за мужем
P002323,1-08-018-0066,170,Федот Иванов Скороходов,жена умерла на Сахалине,Жена умерла на Сахалине
P002326,1-08-019-0069,170,Мария Лукьянова Пахомова,пришла за мужем,Пришла за мужем
P002328,1-08-020-0071,170,Ульяна Миронова Гоголь,пришла за мужем,Пришла за мужем
P002333,1-08-021-0076,171,Марина Андреева Сергеенко,пришла за мужем,Пришла за мужем
P002335,1-08-022-0078,171,Авдотья Иванова Глазунова,пришла за мужем,Пришла за мужем
P002346,1-08-023-0089,172,Ефимья Федорова Ботагова,пришла за мужем,Пришла за мужем
P002350,1-08-025-0093,172,Пелагея Осиповна Голенко,пришла за мужем,Пришла за мужем
P002353,1-08-026-0096,172,Хевронья Ильина Правая,пришла за мужем,Пришла за мужем
P002365,1-09-030-0004,173,Наталья Гаврилова Волкова,пришла за мужем,Пришла за мужем
P002368,1-09-030-0007,173,Авдотья Игнатьева Романова,пришла за мужем,Пришла за мужем
P002371,1-09-031-0010,174,Авдотья Иванова Гостево,пришла за мужем,Пришла за мужем
P002380,1-09-035-0019,174,Ирина Михайлова Осипова,пришла за мужем,Пришла за мужем
P002385,1-09-036-0024,174,Александра Максимова Ретюнская,пришла за мужем,Пришла за мужем
P002390,1-09-037-0029,175,Степанида Сергеева Полякова,пришла за мужем,Пришла за мужем
P002395,1-09-039-0034,175,Фекла Ярцева,пришла за мужем,Пришла за мужем
P002400,1-09-040-0039,175,Ульяна Макарова Арсенюк,пришла за мужем,Пришла за мужем
P002409,1-09-042-0048,176,Ирина Иванова Чуклинова,пришла за мужем,Пришла за мужем
P002413,1-09-043-0052,176,Макрида Тимофеева Здоровцева,пришла за мужем,Пришла за мужем
P002415,1-09-044-0054,176,Варвара Данилова Кузнецова,пришла за мужем,Пришла за мужем
P002416,1-09-045-0055,176,Степан Яковлев Четвертаков,жена умерла на Сахалине,Жена умерла на Сахалине
P002421,1-09-046-0060,177,Марья Дмитриева Бороздина,пришла за мужем,Пришла за мужем
P002426,1-09-047-0065,177,Ефимья Тимофеева Басунова,пришла за мужем,Пришла за мужем
P002431,1-09-048-0070,177,Авдотья Никифорова Болотова,пришла за мужем,Пришла за мужем
P002432,1-09-049-0071,177,Иван Захаров Олейников,жена умерла на Сахалине,Жена умерла на Сахалине
P002445,1-09-052-0084,178,Матрена Михайлова Вылежнева,моет полы на кордоне,Моет полы на кордоне
P002463,1-11-055-0005,179,Евва Матвеева Манкевич,пришла за мужем,Пришла за мужем
P002467,1-11-057-0009,180,Ульяна Сергеева Бурова,пришла за мужем,Пришла за мужем
P002472,1-11-058-0014,180,Татьяна Фоминишна Петрова,пришла за мужем,Пришла за мужем
P002476,1-11-059-0018,180,Дарья Федорова Грин,пришла за мужем,Пришла за мужем
P002479,1-11-060-0021,180,Ульяна Павлова Ухова,пришла за мужем,Пришла за мужем
P002484,1-11-061-0026,181,Матрена Стротопова Богданова,пришла за мужем,Пришла за мужем
P002886,2-19-001-0002,223,Янкель Абрамович Ванштейн,выкрест,Выкрест
P003350,2-21-106-0197,250,Иван Романовский,жена на родине,Жена на родине
P003440,2-21-141-0287,255,Владимир Никифоров Гладких,близнец,Близнец
P003658,2-21-253-0505,266,Антон Гусев,один ребенок получает,Один ребенок получает
